num_ticket,fecha,asunto,usuario,prioridad,departamento,tipo,fuente,estado_actual,atraso,contesta,agente,equipo,lider,srn,correcciones,prevenciones,prioridad_corregida,prioridad_final
111598,1/3/2022 13:06,Personalización en los botones del carrito de compra,alopez,Normal,Departamento de soporte de SAP JDE,Pedido,Web,Abierto,0,1,rmorillo,Equipo de soporte de JDE,,,,,Normal,Normal
111613,1/4/2022 12:26,Publicar problema - Administrador de acceso SQLSQL,sperez,Normal,Departamento de soporte de SAP JDE,Incidente / Problema,Web,Cerrado,0,1,jsarango,Equipo de soporte de SAP,,,,,Normal,Normal
696256,1/6/2022 9:14,prueba,scastro,Normal,Departamento de soporte de SAP JDE,Pedido,Web,Resuelto,0,1,mjacome,Equipo de Salesforce,,,,,Baja,Baja
695643,1/6/2022 13:28,Error en ODSM.,mfernandez,Normal,Departamento de soporte de SAP JDE,Pedido,Correo electrónico,Cerrado,0,0,mjacome,Equipo de soporte de SAP,,,,,Normal,Normal
696200,1/6/2022 15:19,Añadiendo Flexfield,dlopez,Normal,Departamento de soporte de SAP JDE,Pedido,Correo electrónico,Cerrado,1,0,nenriquez,Equipo de soporte de JDE,,,,,Normal,Normal
695245,1/6/2022 16:20,actualización de memoria de computadora portátil,cramirez,Normal,Departamento de soporte de SAP JDE,Pedido,Correo electrónico,Abierto,0,1,rmorillo,BPM - Equipo de soporte de ProcessMaker,,,,,Normal,Normal
111527,1/7/2022 12:37,Compatibilidad con firewalls de Sophos,llopez,Normal,Departamento Técnico Interno,Incidente / Problema,Correo electrónico,Cerrado,0,1,jsarango,Equipo de red,,,,,Normal,Normal
695345,1/10/2022 8:43,El cajero no puede usar la búsqueda en SAP (UPCEB),vcastro,Normal,Departamento de soporte de SAP JDE,Incidente / Problema,Web,Abierto,0,0,mjacome,BPM - Equipo de soporte de ProcessMaker,,,,,Normal,Normal
696250,1/10/2022 10:42,JDE PROD - Cuenta bancaria número 8 de julio de 2019,vramirez,Normal,Departamento Técnico Interno,Pedido,Web,Resuelto,1,0,mjacome,Equipo de Salesforce,,,,,Normal,Normal
696706,1/10/2022 11:08,Extracción de datos en ODSM.,dramirez,Normal,Departamento de soporte de SAP JDE,Pedido,Web,Abierto,0,1,jsarango,Equipo de AWS,,,,,Normal,Normal
695302,1/10/2022 16:10,error multiinquilino,lmorales,Alta,Departamento Técnico Interno,Pedido,Web,Abierto,1,0,jsarango,Equipo de mesa de ayuda,,,,,Alta,Alta
695671,1/11/2022 8:44,No se puede conectar a la base de datos PROD,vvargas,Normal,Departamento de soporte de SAP JDE,Incidente / Problema,Web,Resuelto,1,0,mjacome,Equipo de AWS,,,,,Normal,Normal
694904,1/13/2022 15:06,Configuración de acceso al servidor MYSQL,Agomez,Normal,Departamento de soporte de SAP JDE,Pedido,Correo electrónico,Resuelto,1,1,msandoval,Equipo de red,,,,,Normal,Normal
696111,1/14/2022 8:00,Problema de ADI web,jlopez,Alta,Departamento Técnico Interno,Pedido,Correo electrónico,Abierto,0,0,rmorillo,Equipo de soporte de JDE,,,,,Alta,Alta
111480,1/14/2022 10:29,Cuenta OPENVPN,acastro,Normal,Departamento de soporte de SAP JDE,Pedido,Web,Cerrado,0,1,jsarango,Equipo de AWS,,,,,Normal,Normal
696520,1/14/2022 14:36,El error persiste en la página de la hoja de cálculo BEE,dgomez,Alta,Departamento de soporte de SAP JDE,Incidente / Problema,Correo electrónico,Cerrado,1,0,nenriquez,Equipo de AWS,,,,,Alta,Alta
695194,1/14/2022 15:46,CONFIGURACIÓN DE PALO ALTO,clopez,Normal,Departamento Técnico Interno,Pedido,Correo electrónico,Cerrado,1,0,mjacome,Equipo de red,,,,,Normal,Normal
695186,1/17/2022 12:53,Error al acceder a SAP.EDU.PH,jperez,Normal,Departamento de soporte de SAP JDE,Pedido,Web,Resuelto,1,1,msandoval,Equipo de AWS,,,,,Normal,Normal
695820,1/17/2022 16:08,SOLICITUD DE INSTALACIÓN DE APLICACIÓN ZOOM,mmorales,Baja,Departamento de soporte de SAP JDE,Incidente / Problema,Web,Resuelto,1,0,mjacome,Equipo de hardware,,,,,,Baja
694831,1/19/2022 9:00,Piezas de unidades de sistema antiguas y computadoras portátiles sin usar (baliza a,crodriguez,Normal,Departamento Técnico Interno,Pedido,Web,Abierto,1,1,spaez,Equipo de hardware,,,,,Normal,Normal
696347,1/20/2022 10:56,PROD: Restricciones en el conjunto de asignaciones,jperez,Normal,Departamento de soporte de SAP JDE,Pedido,Web,Resuelto,1,0,mjacome,Equipo de mesa de ayuda,,,,,Normal,Normal
694983,1/20/2022 15:56,Diario de publicación de desaceleración de JDE PROD,aperez,Normal,Departamento de soporte de SAP JDE,Pedido,Web,Abierto,1,1,spaez,Equipo de soporte de SAP,,,,,Normal,Normal
694949,1/21/2022 13:01,Error de puesta en escena de BPM,jcastro,Urgente,Departamento de soporte de SAP JDE,Pedido,Web,Resuelto,1,1,spaez,BPM - Equipo de soporte de ProcessMaker,,,,,Urgente,Urgente
111347,1/21/2022 13:33,Problema de inactividad de producción de SAP - 21 y 22 de noviembre,lmorales,Urgente,Departamento de soporte de SAP JDE,Incidente / Problema,Web,Cerrado,0,1,jsarango,Equipo de soporte de SAP,,,,,Urgente,Urgente
695376,1/24/2022 11:01,Informe de gastos bloqueado en el proceso de aprobación de AME,jmorales,Alta,Departamento Técnico Interno,Pedido,Correo electrónico,Abierto,1,0,jsarango,Equipo de hardware,,,,,Alta,Alta
695727,1/24/2022 13:42,Instalación de impresora y escáner empson,svargas,Normal,Departamento Técnico Interno,Incidente / Problema,Correo electrónico,Abierto,1,1,spaez,Equipo de red,,,,,Normal,Normal
111461,1/24/2022 14:25,Los tickets de prueba no aparecen,mramirez,Normal,Departamento Técnico Interno,Incidente / Problema,Web,Abierto,1,0,rmorillo,Equipo de mesa de ayuda,,,,,Normal,Normal
696544,1/24/2022 16:06,La aprobación de JDE no se puede aprobar ni transferir,drodriguez,Alta,Departamento de soporte de SAP JDE,Pedido,Correo electrónico,Abierto,0,0,mjacome,Equipo de AWS,,,,,Alta,Alta
695126,1/26/2022 10:59,SOLICITUD DE ACCESO,lrodriguez,Normal,Departamento Técnico Interno,Pedido,Correo electrónico,Cerrado,1,1,rmorillo,Equipo de Workday,,,,,,Normal
